custid,active,created,firstorder,lastorder,esent,eopenrate,eclickrate,avgorder,ordfreq,paperless,refill,doorstep,favday,city,days_active,days_conversion,firstorderday,lastorderday,single_day_customer,days_lastorderrecency
T9PYN4,0,2012-01-02,2012-01-09,2013-07-17,1,0.0,0.0,205.09,0.122522523,1,0,0,Monday,DEL,555,7,Monday,Wednesday,False,1649
5SK6G8,1,2013-01-14,2013-05-12,2013-05-12,44,2.272727273,0.0,60.42,0.0,0,0,0,Saturday,MAA,0,118,Sunday,Sunday,True,1715
QRUCKR,1,2011-12-12,2011-12-12,2014-01-13,51,72.54901961,25.49019608,69.31,0.123197903,1,1,0,Tuesday,BOM,763,0,Monday,Monday,False,1469
46TJPF,1,2013-05-30,2013-05-31,2013-06-09,45,0.0,0.0,43.99,0.222222222,1,0,0,Monday,BOM,9,1,Friday,Sunday,False,1687
P3T23U,1,2012-12-09,2012-12-09,2013-04-12,35,77.14285714,0.0,178.67,0.08064516099999999,0,0,0,Monday,DEL,124,0,Sunday,Friday,False,1745
65BSG7,1,2012-08-28,2012-07-20,2012-09-18,36,0.0,0.0,44.3,0.05,0,0,0,Sunday,MAA,60,-39,Friday,Tuesday,False,1951
ADZFTK,1,2012-11-26,2012-11-26,2013-06-23,47,8.510638298,4.255319149,126.05,0.023923445,0,0,0,Monday,BOM,209,0,Monday,Sunday,False,1673
AE5XZ8,1,2013-06-15,2013-07-05,2013-09-18,38,47.36842105,2.631578947,49.62,0.026666667,1,0,0,Thursday,BLR,75,20,Friday,Wednesday,False,1586
CWER43,0,2011-10-05,2011-10-06,2013-02-12,4,100.0,0.0,92.25,0.034343434,0,0,0,Tuesday,DEL,495,1,Thursday,Tuesday,False,1804
KWV8XE,1,2011-01-05,2011-02-15,2013-07-29,48,0.0,0.0,83.19,0.075977654,0,0,0,Tuesday,BOM,895,41,Tuesday,Monday,False,1637
6MFNT5,1,2011-09-16,2011-09-16,2013-12-15,42,78.57142857,7.142857143,58.2,0.007308161,1,0,0,Wednesday,BOM,821,0,Friday,Sunday,False,1498
UCX92C,1,2013-06-10,2013-07-02,2013-09-25,33,78.78787879,36.36363636,67.4,0.023529412000000003,1,0,0,Saturday,MAA,85,22,Tuesday,Wednesday,False,1579
EBMMV2,0,2012-10-08,2012-10-08,2013-01-07,0,0.0,0.0,177.02,0.021978022000000003,1,0,0,Tuesday,DEL,91,0,Monday,Monday,False,1840
XBKSSV,1,2012-08-28,2012-07-26,2014-01-20,53,24.52830189,5.660377358,80.78,0.082872928,0,0,1,Thursday,MAA,543,-33,Thursday,Monday,False,1462
NLQLQQ,1,2013-03-13,2013-04-14,2013-06-18,47,0.0,0.0,46.84,0.061538462,0,0,0,Wednesday,DEL,65,32,Sunday,Tuesday,False,1678
8LV65L,1,2012-02-08,2012-04-04,2012-08-10,47,0.0,0.0,104.6,0.03125,0,0,0,Friday,BOM,128,56,Wednesday,Friday,False,1990
8YB2SN,0,2013-06-04,2013-06-20,2013-06-20,10,0.0,0.0,100.51,0.0,1,0,0,Tuesday,MAA,0,16,Thursday,Thursday,True,1676
QVZCK2,1,2011-08-01,2013-02-16,2014-01-13,52,13.46153846,3.846153846,131.79,0.018126888,0,0,0,Tuesday,DEL,331,565,Saturday,Monday,False,1469
FPV957,1,2013-05-06,2013-07-09,2013-07-09,26,30.76923077,3.846153846,60.0,0.0,0,0,0,Wednesday,MAA,0,64,Tuesday,Tuesday,True,1657
NMTFWG,1,2009-12-03,2010-09-27,2014-01-19,62,70.96774194,19.35483871,151.62,0.06446281,1,1,1,Monday,DEL,1210,298,Monday,Sunday,False,1463
P42ZGK,1,2012-04-02,2012-04-09,2013-04-07,18,38.88888889,0.0,24.17,0.005509642,0,0,0,Wednesday,BOM,363,7,Monday,Sunday,False,1750
SL49HD,1,2013-07-03,2013-07-03,2013-07-03,45,0.0,0.0,50.91,0.0,1,0,0,Friday,BOM,0,0,Wednesday,Wednesday,True,1663
K72ASR,1,2013-06-05,2013-06-06,2013-06-06,43,9.302325581,0.0,10.24,0.0,1,0,0,Monday,DEL,0,1,Thursday,Thursday,True,1690
BRPUNW,1,2013-03-19,2013-03-21,2013-03-21,47,4.255319149,0.0,100.65,0.0,0,0,0,Tuesday,DEL,0,2,Thursday,Thursday,True,1767
QP7HEL,0,2011-10-14,2012-05-07,2013-01-14,0,0.0,0.0,45.3,0.03968254,0,0,0,Tuesday,BOM,252,206,Monday,Monday,False,1833
HKQMZE,1,2013-03-12,2013-04-07,2013-07-14,42,35.71428571,11.9047619,51.67,0.030612245,0,0,0,Tuesday,MAA,98,26,Sunday,Sunday,False,1652
BV436X,1,2013-05-29,2013-12-17,2013-12-17,40,20.0,5.0,59.04,0.0,1,0,0,Wednesday,DEL,0,202,Tuesday,Tuesday,True,1496
9V63HG,1,2011-01-24,2011-10-27,2013-01-03,41,34.14634146,0.0,63.59,0.117511521,0,0,0,Friday,BOM,434,276,Thursday,Thursday,False,1844
B4HEWF,1,2010-09-24,2010-12-21,2013-10-01,40,52.5,2.5,127.65,0.024630542,0,0,0,Wednesday,DEL,1015,88,Tuesday,Tuesday,False,1573
T6CN9Q,1,2013-03-03,2013-03-03,2013-03-03,41,70.73170732,0.0,48.81,0.0,0,0,0,Monday,BOM,0,0,Sunday,Sunday,True,1785
7WBCTC,0,2011-09-01,2011-11-16,2012-05-18,0,0.0,0.0,36.9,0.038043478,1,0,0,Friday,DEL,184,76,Wednesday,Friday,False,2074
7V69KM,0,2013-04-04,2013-04-03,2013-04-03,9,11.11111111,0.0,51.32,0.0,0,0,0,Thursday,BOM,0,-1,Wednesday,Wednesday,True,1754
KPABVZ,1,2013-05-28,2013-05-28,2013-06-17,47,10.63829787,2.127659574,56.47,0.2,1,0,0,Wednesday,BOM,20,0,Tuesday,Monday,False,1679
QGTNVL,1,2012-12-06,2013-01-22,2013-01-22,45,0.0,0.0,97.35,0.0,0,0,0,Thursday,MAA,0,47,Tuesday,Tuesday,True,1825
JTFHAZ,1,2013-06-03,2013-06-19,2013-06-19,45,2.222222222,0.0,88.57,0.0,1,0,0,Wednesday,MAA,0,16,Wednesday,Wednesday,True,1677
MJYL6W,1,2013-03-02,2013-03-13,2013-09-12,35,54.28571429,11.42857143,161.74,0.027322404,1,0,0,Wednesday,DEL,183,11,Wednesday,Thursday,False,1592
V3J4ZD,1,2011-10-09,2011-10-09,2013-11-05,48,10.41666667,2.083333333,128.86,0.014511873,0,0,0,Wednesday,DEL,758,0,Sunday,Tuesday,False,1538
T8SK67,1,2013-04-24,2013-04-28,2013-10-14,47,2.127659574,0.0,93.1,0.01183432,0,0,0,Thursday,MAA,169,4,Sunday,Monday,False,1560
FWCBJ,0,2011-04-07,2011-04-11,2014-01-06,22,0.0,0.0,126.04,0.067932068,1,0,0,Wednesday,BOM,1001,4,Monday,Monday,False,1476
UES7QR,0,2011-08-24,2011-09-14,2011-09-14,0,0.0,0.0,36.86,0.0,1,0,0,Wednesday,BOM,0,21,Wednesday,Wednesday,True,2321
6XU63W,1,2013-03-02,2013-06-25,2013-11-26,32,50.0,6.25,34.6,0.045454545,1,1,0,Wednesday,DEL,154,115,Tuesday,Tuesday,False,1517
T77VMF,1,2012-08-28,2013-06-21,2013-06-21,35,80.0,0.0,89.49,0.0,0,0,0,Thursday,BLR,0,297,Friday,Friday,True,1675
2XZG5W,1,2011-12-20,2012-06-08,2013-08-25,45,35.55555556,0.0,46.41,0.011286682,0,0,0,Monday,DEL,443,171,Friday,Sunday,False,1610
3ZQLCV,1,2012-08-28,2012-07-24,2013-04-04,36,19.44444444,0.0,61.1,0.086614173,1,0,0,Sunday,MAA,254,-35,Tuesday,Thursday,False,1753
FM8CPT,1,2011-09-21,2013-05-27,2013-08-25,47,0.0,0.0,90.57,0.044444444000000013,1,0,0,Monday,BOM,90,614,Monday,Sunday,False,1610
2FZR8X,1,2012-08-28,2012-08-02,2014-01-15,52,78.84615385,19.23076923,51.84,0.079096045,1,1,1,Tuesday,BLR,531,-26,Thursday,Wednesday,False,1467
XK37QJ,1,2012-08-28,2012-08-16,2013-05-13,25,72.0,20.0,46.22,0.011111111000000002,1,0,0,Sunday,BLR,270,-12,Thursday,Monday,False,1714
S6B5PB,1,2013-01-10,2013-02-08,2013-02-08,44,2.272727273,0.0,80.75,0.0,0,0,0,Saturday,MAA,0,29,Friday,Friday,True,1808
4UAGHT,1,2010-06-30,2013-02-15,2013-02-15,45,2.222222222,0.0,24.6,0.0,0,0,0,Friday,DEL,0,961,Friday,Friday,True,1801
5MK7XF,1,2012-01-10,2012-01-10,2013-09-17,47,0.0,0.0,101.2,0.063311688,0,0,0,Wednesday,DEL,616,0,Tuesday,Tuesday,False,1587
GYYWBF,1,2011-08-20,2011-11-14,2013-10-06,43,13.95348837,4.651162791,80.28,0.014450867,0,0,0,Monday,BOM,692,86,Monday,Sunday,False,1568
MT9A2R,1,2013-02-24,2013-02-24,2013-02-24,46,6.52173913,0.0,99.13,0.0,0,0,0,Monday,BOM,0,0,Sunday,Sunday,True,1792
GTCDR7,1,2010-10-25,2011-04-22,2014-01-03,54,18.51851852,1.851851852,67.29,0.024316109,0,0,0,Monday,DEL,987,179,Friday,Friday,False,1479
DBQ5FT,0,2012-04-04,2012-04-17,2013-10-07,0,0.0,0.0,69.22,0.014869888,0,0,0,Wednesday,BOM,538,13,Tuesday,Monday,False,1567
HBQU9A,1,2013-03-26,2013-03-26,2014-01-18,57,35.0877193,3.50877193,145.18,0.140939597,0,0,1,Monday,MAA,298,0,Tuesday,Saturday,False,1464
TR8928,1,2013-05-29,2013-05-29,2013-05-29,45,4.444444444,0.0,52.45,0.0,1,0,0,Wednesday,BOM,0,0,Wednesday,Wednesday,True,1698
S3SVXK,1,2013-02-17,2013-02-17,2013-02-17,29,44.82758621,0.0,99.32,0.0,0,0,0,Monday,BOM,0,0,Sunday,Sunday,True,1799
T73V4W,1,2013-05-30,2013-05-30,2013-08-10,46,2.173913043,0.0,107.74,0.13888888900000002,1,0,0,Tuesday,BOM,72,0,Thursday,Saturday,False,1625
SHHASL,1,2011-10-26,2011-11-06,2012-12-20,45,0.0,0.0,41.49,0.007317073,0,0,0,Monday,DEL,410,11,Sunday,Thursday,False,1858
KQUTR8,1,2010-11-10,2011-04-13,2014-01-16,49,100.0,28.57142857,67.64,0.14271556,1,1,0,Monday,DEL,1009,154,Wednesday,Thursday,False,1466
CULERS,1,2013-03-29,2013-04-23,2013-07-10,40,45.0,5.0,59.66,0.051282051,0,0,0,Thursday,BOM,78,25,Tuesday,Wednesday,False,1656
BZHDEX,1,2010-07-13,2011-01-17,2013-12-16,51,35.29411765,0.0,167.12,0.123120301,0,0,0,Friday,DEL,1064,188,Monday,Monday,False,1497
KK39NZ,1,2013-06-05,2013-06-10,2013-10-28,43,44.18604651,18.60465116,30.26,0.05714285700000001,1,0,0,Tuesday,DEL,140,5,Monday,Monday,False,1546
UDLG69,1,2012-02-20,2012-02-20,2013-10-28,43,16.27906977,2.325581395,112.69,0.099025974,0,0,0,Monday,BOM,616,0,Monday,Monday,False,1546
8KSUV9,1,2012-08-28,2012-07-20,2013-05-01,22,95.45454545,4.545454545,90.56,0.035087719,0,0,0,Sunday,MAA,285,-39,Friday,Wednesday,False,1726
5KUXVJ,1,2013-07-05,2013-07-07,2013-07-28,38,42.10526316,5.263157895,74.38,0.14285714300000002,1,0,0,Monday,DEL,21,2,Sunday,Sunday,False,1638
G3Y8M3,1,2012-01-23,2012-01-27,2012-02-03,45,6.666666667,0.0,38.91,0.28571428600000004,1,0,0,Monday,BOM,7,4,Friday,Friday,False,2179
QKS7GQ,0,2013-06-23,2013-06-23,2013-06-23,0,0.0,0.0,84.87,0.0,1,0,0,Saturday,BLR,0,0,Sunday,Sunday,True,1673
GVZGUZ,1,2013-03-19,2013-03-19,2013-03-19,45,0.0,0.0,79.74,0.0,0,0,0,Wednesday,DEL,0,0,Tuesday,Tuesday,True,1769
9L5VZV,1,2012-02-01,2012-02-01,2012-02-01,44,6.818181817999999,4.545454545,49.0,0.0,0,0,0,Thursday,BOM,0,0,Wednesday,Wednesday,True,2181
Y6R7FP,1,2013-04-17,2013-05-14,2013-12-17,45,28.88888889,6.666666667,53.25,0.041474654,1,0,0,Monday,MAA,217,27,Tuesday,Tuesday,False,1496
6UQK2S,1,2011-11-15,2011-11-23,2013-11-04,41,78.04878049,7.317073171,67.61,0.042134831,0,0,0,Tuesday,BOM,712,8,Wednesday,Monday,False,1539
66SREK,1,2011-05-14,2011-05-31,2012-11-18,40,47.5,2.5,65.53,0.018621974,0,0,0,Tuesday,DEL,537,17,Tuesday,Sunday,False,1890
QKTAD2,0,2011-03-12,2011-04-19,2012-12-26,0,0.0,0.0,112.51,0.079416532,0,0,0,Wednesday,DEL,617,38,Tuesday,Wednesday,False,1852
JDCD8T,1,2012-10-13,2012-10-29,2012-10-29,41,26.82926829,0.0,38.1,0.0,0,0,0,Friday,BOM,0,16,Monday,Monday,True,1910
5MZDEW,1,2013-05-18,2013-06-09,2013-06-09,34,70.58823529,5.8823529410000015,93.55,0.0,0,0,0,Tuesday,DEL,0,22,Sunday,Sunday,True,1687
FV5RGD,0,2010-08-19,2010-11-10,2012-12-18,0,0.0,0.0,146.99,0.024707412,0,0,0,Wednesday,DEL,769,83,Wednesday,Tuesday,False,1860
PYTFRC,1,2011-10-17,2011-10-17,2013-12-08,52,13.46153846,0.0,74.77,0.022988506,0,0,0,Monday,BOM,783,0,Monday,Sunday,False,1505
3J2J8N,1,2012-08-28,2012-07-20,2013-07-16,47,12.76595745,0.0,77.27,0.04432133,1,0,0,Wednesday,MAA,361,-39,Friday,Tuesday,False,1650
8JDWB4,0,2012-08-29,2013-10-27,2014-01-18,39,79.48717949,10.25641026,67.81,0.301204819,0,1,1,Tuesday,BLR,83,424,Sunday,Saturday,False,1464
5XF4W8,1,2012-08-28,2012-10-19,2014-01-04,51,64.70588235,7.843137255,92.0,0.029411765,0,0,0,Thursday,MAA,442,52,Friday,Saturday,False,1478
J3G6DX,0,2011-05-26,2011-05-26,2013-09-03,19,15.78947368,0.0,47.22,0.10589651,0,0,0,Wednesday,BOM,831,0,Thursday,Tuesday,False,1601
W9HTBU,1,2012-12-12,2013-02-11,2013-02-11,43,18.60465116,6.976744186,29.83,0.0,1,0,0,Tuesday,BOM,0,61,Monday,Monday,True,1805
J8P5S5,1,2013-06-26,2013-10-31,2013-10-31,40,5.0,0.0,53.7,0.0,1,0,0,Saturday,MAA,0,127,Thursday,Thursday,True,1543
TUPEYS,1,2013-02-26,2013-09-16,2013-09-16,37,5.405405405,0.0,43.48,0.0,0,0,0,Friday,BOM,0,202,Monday,Monday,True,1588
DWCTRB,1,2012-03-11,2012-03-11,2013-12-30,40,92.5,15.0,116.06,0.009104704,1,0,0,Tuesday,DEL,659,0,Sunday,Monday,False,1483
LBRHPV,0,2012-09-29,2012-10-01,2014-01-07,3,66.66666667,33.33333333,44.66,0.023758099,1,1,0,Wednesday,MAA,463,2,Monday,Tuesday,False,1475
6677PF,0,2013-01-03,2013-03-25,2013-03-25,0,0.0,0.0,54.28,0.0,1,0,0,Tuesday,DEL,0,81,Monday,Monday,True,1763
VY843W,1,2013-03-11,2013-03-11,2013-03-11,45,2.222222222,0.0,117.85,0.0,0,0,0,Tuesday,BOM,0,0,Monday,Monday,True,1777
22MNP8,0,2011-04-11,2011-04-11,2011-04-11,0,0.0,0.0,90.86,0.0,1,0,0,Tuesday,DEL,0,0,Monday,Monday,True,2477
PXGX7M,1,2013-03-25,2013-03-25,2014-01-12,63,38.0952381,3.174603175,140.84,0.160409556,0,1,1,Tuesday,MAA,293,0,Monday,Sunday,False,1470
LFU2BB,1,2013-04-20,2013-04-21,2013-04-21,46,10.86956522,0.0,214.39,0.0,0,0,0,Tuesday,BOM,0,1,Sunday,Sunday,True,1736
FGVBYU,1,2012-01-01,2012-01-02,2014-01-15,50,14.0,2.0,126.78,0.055107527,1,0,0,Monday,DEL,744,1,Monday,Wednesday,False,1467
DGKFD9,1,2013-06-29,2014-01-15,2014-01-15,42,26.19047619,7.142857143,119.85,0.0,1,0,0,Friday,BOM,0,200,Wednesday,Wednesday,True,1467
PEFW6W,1,2011-02-10,2012-05-21,2012-12-27,45,15.55555556,0.0,42.72,0.018181818,0,0,0,Wednesday,DEL,220,466,Monday,Thursday,False,1851
9GUGKV,1,2012-01-08,2013-01-13,2014-01-19,54,16.66666667,1.851851852,70.92,0.018867925,0,0,0,Monday,BOM,371,371,Sunday,Sunday,False,1463
BTXSJ3,0,2013-03-29,2013-04-09,2013-07-23,0,0.0,0.0,74.82,0.066666667,1,0,0,Friday,BOM,105,11,Tuesday,Tuesday,False,1643
78AVAT,1,2013-06-09,2013-06-09,2013-06-09,45,0.0,0.0,48.42,0.0,1,0,0,Tuesday,MAA,0,0,Sunday,Sunday,True,1687
8VP7SF,1,2012-08-28,2012-08-02,2013-12-29,40,77.5,7.5,74.93,0.064202335,0,0,1,Sunday,MAA,514,-26,Thursday,Sunday,False,1484
WZNGHC,1,2012-07-02,2012-07-23,2013-12-19,39,74.35897436,10.25641026,98.39,0.116731518,1,1,0,Monday,DEL,514,21,Monday,Thursday,False,1494
2JZXV9,0,2011-05-13,2011-05-21,2013-09-26,0,0.0,0.0,64.96,0.033760186,1,0,0,Friday,BOM,859,8,Saturday,Thursday,False,1578
WLTE3X,1,2010-08-29,2010-09-05,2012-11-04,48,4.166666667,0.0,90.31,0.013906448,0,0,0,Monday,DEL,791,7,Sunday,Sunday,False,1904
KQVPUW,1,2012-06-14,2012-07-31,2013-09-02,47,4.255319149,4.255319149,63.35,0.010050251,0,0,0,Thursday,BOM,398,47,Tuesday,Monday,False,1602
RJUP9L,1,2012-09-19,2012-09-19,2013-09-11,45,37.77777778,8.888888889,120.54,0.030812325,0,0,0,Thursday,BOM,357,0,Wednesday,Wednesday,False,1593
MXF5M2,1,2012-02-18,2012-02-19,2014-01-19,52,42.30769231,15.38461538,110.09,0.045714285999999986,0,0,0,Monday,BOM,700,1,Sunday,Sunday,False,1463
AW6NYH,1,2011-04-03,2011-05-01,2013-02-16,47,0.0,0.0,30.29,0.01217656,0,0,0,Monday,BOM,657,28,Sunday,Saturday,False,1800
LS3B85,0,2012-08-28,2012-07-24,2013-03-13,16,31.25,6.25,46.49,0.030172414,1,0,0,Thursday,MAA,232,-35,Tuesday,Wednesday,False,1775
BPH9TF,0,2013-06-20,2013-06-20,2013-06-20,0,0.0,0.0,100.15,0.0,1,0,0,Saturday,MAA,0,0,Thursday,Thursday,True,1676
ZTQVTM,1,2013-05-30,2013-05-31,2014-01-06,48,10.41666667,4.166666667,68.58,0.018181818,1,0,0,Wednesday,BOM,220,1,Friday,Monday,False,1476
EZU3BU,0,2013-06-01,2013-07-05,2013-07-05,0,0.0,0.0,87.72,0.0,1,0,0,Monday,MAA,0,34,Friday,Friday,True,1661
77LA48,1,2012-11-16,2012-11-16,2013-08-08,43,30.23255814,13.95348837,83.5,0.037735849,0,0,0,Thursday,MAA,265,0,Friday,Thursday,False,1627
QJSDL9,1,2012-08-28,2012-08-16,2013-11-05,49,36.73469388,18.36734694,73.41,0.087443946,1,0,0,Tuesday,BLR,446,-12,Thursday,Tuesday,False,1538
QUNZPL,1,2013-03-01,2013-04-07,2013-04-07,36,80.55555556,2.777777778,50.97,0.0,0,0,0,Saturday,BLR,0,37,Sunday,Sunday,True,1750
SAVZ4Z,1,2010-10-02,2011-02-02,2012-07-10,47,0.0,0.0,12.93,0.009541985,0,0,0,Wednesday,BOM,524,123,Wednesday,Tuesday,False,2021
PBYYRG,1,2010-09-23,2010-12-08,2013-11-05,48,31.25,2.083333333,76.96,0.025399812,0,0,0,Wednesday,BOM,1063,76,Wednesday,Tuesday,False,1538
8DVJ2G,1,2013-05-18,2013-06-25,2013-06-25,45,0.0,0.0,50.67,0.0,0,0,0,Saturday,MAA,0,38,Tuesday,Tuesday,True,1671
AR86XU,0,2013-04-03,2013-04-03,2013-04-03,0,0.0,0.0,53.5,0.0,0,0,0,Saturday,MAA,0,0,Wednesday,Wednesday,True,1754
GJJK7A,1,2012-01-12,2012-01-13,2012-09-17,46,13.04347826,0.0,87.98,0.02016129,0,0,0,Tuesday,BOM,248,1,Friday,Monday,False,1952
BGKGXN,1,2012-02-11,2012-02-12,2013-05-08,48,0.0,0.0,43.53,0.068736142,1,0,0,Thursday,DEL,451,1,Sunday,Wednesday,False,1719
8QBTTL,1,2013-03-30,2013-03-31,2013-03-31,35,45.71428571,0.0,27.09,0.0,0,0,0,Tuesday,MAA,0,1,Sunday,Sunday,True,1757
UWBDUF,1,2013-01-30,2013-02-09,2013-07-29,46,15.2173913,0.0,112.77,0.082352941,0,0,0,Wednesday,MAA,170,10,Saturday,Monday,False,1637
46HKKN,1,2013-01-30,2013-05-21,2013-05-21,46,4.347826087,4.347826087,89.48,0.0,0,0,0,Saturday,MAA,0,111,Tuesday,Tuesday,True,1706
5KGR2C,1,2013-06-20,2013-06-20,2013-10-28,37,56.75675676,0.0,139.03,0.015384615,1,0,0,Friday,MAA,130,0,Thursday,Monday,False,1546
5NCZQH,1,2013-02-02,2013-02-03,2013-09-23,46,13.04347826,6.52173913,51.98,0.047413793,0,0,0,Monday,BOM,232,1,Sunday,Monday,False,1581
87B7W2,0,2013-06-22,2013-07-19,2013-07-19,7,71.42857143,0.0,79.5,0.0,1,0,0,Monday,DEL,0,27,Friday,Friday,True,1647
EFUS78,1,2013-03-16,2013-03-17,2013-03-17,44,2.272727273,2.272727273,91.27,0.0,0,0,0,Monday,BOM,0,1,Sunday,Sunday,True,1771
ZQLRRJ,1,2012-09-10,2012-09-11,2013-02-04,43,27.90697674,2.325581395,58.63,0.034246575,1,0,0,Thursday,BOM,146,1,Tuesday,Monday,False,1812
ZTTAW2,1,2013-06-11,2013-07-06,2013-07-06,39,30.76923077,2.564102564,98.86,0.0,1,0,0,Monday,MAA,0,25,Saturday,Saturday,True,1660
Q3R28K,1,2010-08-29,2012-09-16,2013-05-19,45,22.22222222,4.444444444,95.86,0.06530612200000001,1,0,0,Monday,DEL,245,749,Sunday,Sunday,False,1708
N2GVLQ,1,2012-12-13,2013-03-01,2013-03-27,34,76.47058824,14.70588235,498.27,0.115384615,0,0,0,Tuesday,MAA,26,78,Friday,Wednesday,False,1761
DYEMVE,1,2013-06-03,2013-06-21,2013-06-21,45,0.0,0.0,86.57,0.0,1,0,0,Saturday,BLR,0,18,Friday,Friday,True,1675
YJEBSK,1,2012-10-14,2012-10-20,2014-01-19,55,34.54545455,5.454545455,257.85,0.131578947,1,0,0,Monday,BOM,456,6,Saturday,Sunday,False,1463
LRB4GN,1,2013-04-27,2013-04-29,2013-04-29,34,91.17647059,0.0,56.8,0.0,0,0,0,Thursday,BLR,0,2,Monday,Monday,True,1728
5DFRWL,1,2013-03-19,2013-03-19,2013-04-02,43,11.62790698,0.0,65.58,0.14285714300000002,0,0,0,Thursday,DEL,14,0,Tuesday,Tuesday,False,1755
MKVQS9,1,2013-05-22,2013-05-22,2013-05-22,33,48.48484848,0.0,15.61,0.0,0,0,0,Friday,BOM,0,0,Wednesday,Wednesday,True,1705
VY9C7M,1,2013-02-13,2013-02-13,2013-02-13,36,58.33333333,8.333333332999999,31.71,0.0,1,0,0,Thursday,DEL,0,0,Wednesday,Wednesday,True,1803
G5MQBM,1,2013-01-31,2013-02-11,2014-01-01,46,52.17391304,4.347826087,111.69,0.037037037,0,0,0,Friday,BOM,324,11,Monday,Wednesday,False,1481
VSUCFY,1,2011-05-31,2011-06-20,2013-04-09,48,2.083333333,2.083333333,207.03,0.013657056,0,0,0,Monday,BOM,659,20,Monday,Tuesday,False,1748
L2WPQN,0,2013-01-01,2013-01-01,2013-01-23,37,2.702702703,0.0,62.02,0.090909091,0,0,0,Thursday,DEL,22,0,Tuesday,Wednesday,False,1824
FLCUP7,0,2013-05-18,2013-05-19,2013-06-24,0,0.0,0.0,57.28,0.055555556,0,0,0,Monday,DEL,36,1,Sunday,Monday,False,1672
ZA4GHT,1,2012-11-20,2012-11-20,2012-11-20,44,2.272727273,2.272727273,41.47,0.0,0,0,0,Wednesday,BOM,0,0,Tuesday,Tuesday,True,1888
BBRP64,1,2012-08-28,2012-07-26,2013-01-27,36,16.66666667,2.777777778,45.8,0.043243243,1,0,0,Sunday,MAA,185,-33,Thursday,Sunday,False,1820
4XJFVK,1,2011-03-06,2011-08-01,2012-12-10,47,6.382978723,2.127659574,86.59,0.018108652,1,0,0,Monday,DEL,497,148,Monday,Monday,False,1868
3QWQ8Z,1,2010-01-08,2013-01-07,2013-03-03,45,0.0,0.0,37.64,0.054545455,0,0,0,Monday,DEL,55,1095,Monday,Sunday,False,1785
MDWKLZ,1,2012-03-05,2012-07-08,2012-11-12,48,6.25,4.166666667,91.46,0.086614173,0,0,0,Monday,DEL,127,125,Sunday,Monday,False,1896
T8FBDA,1,2012-08-28,2013-05-03,2013-08-12,42,71.42857143,11.9047619,154.55,0.03960396,0,0,0,Wednesday,MAA,101,248,Friday,Monday,False,1623
XKJRPE,0,2011-05-16,2011-05-25,2014-01-13,17,76.47058824,0.0,68.41,0.034232365,1,0,0,Friday,BOM,964,9,Wednesday,Monday,False,1469
2FQQM2,1,2013-06-12,2013-06-22,2013-06-22,46,13.04347826,0.0,97.44,0.0,1,0,0,Tuesday,BLR,0,10,Saturday,Saturday,True,1674
5P2CQW,0,2011-05-28,2011-07-23,2013-06-23,0,0.0,0.0,89.25,0.044222539000000005,1,0,0,Wednesday,DEL,701,56,Saturday,Sunday,False,1673
C769ZF,0,2012-03-19,2012-03-20,2012-11-15,0,0.0,0.0,56.98,0.008333333,1,0,0,Tuesday,DEL,240,1,Tuesday,Thursday,False,1893
XC5BHA,1,2011-09-20,2011-09-20,2011-09-20,45,0.0,0.0,81.57,0.0,0,0,0,Tuesday,BOM,0,0,Tuesday,Tuesday,True,2315
89MMR4,0,2013-05-21,2013-05-21,2013-05-21,0,0.0,0.0,91.5,0.0,1,0,0,Wednesday,BOM,0,0,Tuesday,Tuesday,True,1706
238E4D,1,2013-03-19,2013-03-19,2013-04-26,45,0.0,0.0,41.06,0.052631579000000005,0,0,0,Wednesday,MAA,38,0,Tuesday,Friday,False,1731
H278DL,1,2010-08-28,2010-09-28,2013-10-28,50,2.0,0.0,180.15,0.023978686000000003,0,0,0,Tuesday,DEL,1126,31,Tuesday,Monday,False,1546
BB2MU8,1,2012-09-30,2012-10-27,2013-03-17,43,32.55813953,4.651162791,96.4,0.021276596,1,0,0,Wednesday,MAA,141,27,Saturday,Sunday,False,1771
PB9KGE,1,2011-01-02,2011-01-25,2013-07-11,48,2.083333333,0.0,63.07,0.022271715,1,0,0,Friday,BOM,898,23,Tuesday,Thursday,False,1655
EUQ5QX,1,2011-05-23,2011-07-05,2013-01-08,47,0.0,0.0,35.43,0.007233273,0,0,0,Tuesday,BOM,553,43,Tuesday,Tuesday,False,1839
VNVG36,1,2013-02-12,2013-02-12,2013-02-12,45,0.0,0.0,53.76,0.0,0,0,0,Thursday,MAA,0,0,Tuesday,Tuesday,True,1804
B69NX8,1,2010-07-03,2010-07-03,2013-10-02,48,10.41666667,2.083333333,80.84,0.02190396,0,0,0,Tuesday,BLR,1187,0,Saturday,Wednesday,False,1572
ECU9XH,1,2011-07-27,2011-08-08,2012-01-08,44,20.45454545,2.272727273,61.42,0.026143791,0,0,0,Monday,BOM,153,12,Monday,Sunday,False,2205
B4VYWT,0,2011-01-29,2011-04-13,2014-01-13,2,50.0,0.0,77.82,0.046719682,0,0,0,Tuesday,BOM,1006,74,Wednesday,Monday,False,1469
UQRMLB,1,2013-05-08,2013-05-20,2014-01-13,55,34.54545455,9.090909091,107.85,0.100840336,0,0,1,Tuesday,BLR,238,12,Monday,Monday,False,1469
